,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,7 Industries AI will Aggressively Disrupt,2023-08-14,2665,126,0,27,Aug
1,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,3169,102,0,40,Aug
2,7 Enticing Jobs AI Will Create,2023-07-24,3887,176,0,34,Jul
3,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,3630,131,0,30,Jul
4,Exciting Announcement!,2023-06-23,6349,285,0,49,Jun
5,AI: A Customer Service Revolution?,2023-05-26,3494,114,0,35,May
6,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,19425,715,0,54,May
7,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,26905,1180,0,72,May
8,This AI question will determine our future,2023-04-06,4129,258,0,37,Apr
9,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70111,808,0,77,Apr
10,Your current portfolio is actually hurting you #shorts,2023-03-30,5250,303,0,4,Mar
11,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,5514,300,0,3,Mar
12,you're job searching wrong. #shorts,2023-03-23,3612,217,0,3,Mar
13,The Economics of Data Roles #shorts,2023-03-21,6147,384,0,5,Mar
14,Why your phone knows everything you say #shorts,2023-03-18,2542,117,0,7,Mar
15,Read these for a successful career. #shorts,2023-03-16,2730,215,0,2,Mar
16,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2308,43,0,5,Mar
17,How I Realized I Was a Bad Manager #shorts,2023-03-07,2459,116,0,1,Mar
18,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,19327,734,0,52,Mar
19,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,6750,227,0,12,Mar
20,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2365,155,0,2,Feb
21,Learning On the companies dime #shorts,2023-02-24,2949,168,0,1,Feb
22,The Best Way to Transition to Data Science? #shorts,2023-02-21,3660,238,0,6,Feb
23,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6097,353,0,6,Feb
24,Don't Go into Data for the Money #shorts,2023-02-15,3615,214,0,12,Feb
25,First Data Science Project? Watch This.,2023-02-13,5594,318,0,22,Feb
26,How to Approach Applying for a Data Role #shorts,2023-02-08,3598,242,0,7,Feb
27,The Hard Reality of Data Science Work #shorts,2023-02-06,10533,658,0,10,Feb
28,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4283,177,0,6,Feb
29,These 3 Things Make Data Science Special #shorts,2023-02-01,4019,315,0,6,Feb
30,Will Data Science Be Automated? #shorts,2023-01-27,7712,356,0,8,Jan
31,Is Data Science A Good Fit For You? #shorts,2023-01-25,4828,280,0,9,Jan
32,5 Books I Wish I Read Earlier In My Career,2023-01-23,8893,504,0,50,Jan
33,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4290,446,0,10,Jan
34,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6173,469,0,10,Jan
35,How long does it take to become a Data Scientist? #shorts,2023-01-12,5477,441,0,6,Jan
36,Where & how to start your Data Science Journey #shorts,2023-01-09,6501,409,0,2,Jan
37,How I Would NOT Learn Data Science in 2023.,2023-01-03,118610,3941,0,244,Jan
38,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4762,198,0,28,Dec
39,The Essential Programming Concepts For Learning Data Science,2022-11-14,19908,831,0,46,Nov
40,The Data Content House: What You Missed,2022-10-07,10364,345,0,50,Oct
41,Is Data Science A Good Career?,2022-09-29,58838,1861,0,134,Sep
42,IRON ANALYST (Teaser) #shorts,2022-09-27,5603,362,0,24,Sep
43,When a New Data Scientist Joins The Team,2022-08-29,16272,745,0,133,Aug
44,State of Data Science - Web Data,2022-08-05,10406,358,0,34,Aug
45,Data Science Town Hall - State of Data Science,2022-08-04,9944,376,0,38,Aug
46,The Programming Roadmap For Data Science,2022-07-29,26750,1276,0,64,Jul
47,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,70939,2739,0,90,Jun
48,Can AI Fix my Baseball Swing?,2022-06-10,7506,340,0,68,Jun
49,Every Data Scientist... (funny!),2022-05-24,16378,848,0,146,May
50,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15965,430,0,65,May
51,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,55769,1462,0,87,Apr
52,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,20772,870,0,111,Mar
53,Data Scientists VS NFT Scam,2022-03-03,4609,189,0,51,Mar
54,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11075,510,0,144,Feb
55,What Professional Data Scientists ACTUALLY Do,2022-02-14,94113,3277,0,186,Feb
56,Can You Analyze My Data Better Than I Can?,2022-01-31,7247,323,0,62,Jan
57,Giving Back to My Most Engaged Subscribers!,2022-01-28,2323,119,0,89,Jan
58,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,27862,845,0,130,Jan
59,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8802,423,0,83,Jan
60,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8466,252,0,33,Jan
61,The Only Data Science Explanation You Need,2022-01-10,58659,2191,0,172,Jan
62,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14407,646,0,144,Jan
63,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,338955,14946,0,538,Dec
64,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,11476,414,0,66,Dec
65,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7989,568,0,25,Dec
66,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,24522,1184,0,146,Dec
67,Why Is Data Engineering So HOT Right Now?,2021-11-26,29328,1098,0,141,Nov
68,Is Data Science Dying?,2021-11-19,122013,3841,0,359,Nov
69,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8050,387,0,112,Nov
70,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3624,203,0,48,Nov
71,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,13035,296,0,39,Oct
72,ML Ops: What is it REALLY?,2021-10-22,6715,280,0,65,Oct
73,Business Skills for Data Science: What are they REALLY?,2021-10-18,6755,301,0,50,Oct
74,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2204,123,0,5,Oct
75,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5889,279,0,64,Oct
76,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12746,530,0,112,Aug
77,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10142,429,0,32,Aug
78,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40782,1591,0,32,Aug
79,How I Learned to Learn.,2021-07-31,50719,2357,0,209,Jul
80,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10376,578,0,50,Jul
81,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2384,93,0,30,Jul
82,Why are APIs Important for Data Science?,2021-07-09,9787,451,0,95,Jul
83,Is Your Phone REALLY Listening to You?,2021-07-03,5159,280,0,116,Jul
84,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14887,594,0,121,Jun
85,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4079,225,0,41,Jun
86,#66DaysOfData - What is it? #shorts,2021-06-11,9038,386,0,54,Jun
87,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16579,1011,0,89,Jun
88,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7432,391,0,195,May
89,How Data Science Projects Pay Off,2021-05-22,10585,596,0,146,May
90,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10538,489,0,134,May
91,What is a lambda function (python)? #shorts,2021-05-13,15140,937,0,49,May
92,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,28702,1535,0,64,May
93,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23426,1201,0,87,Apr
94,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,76814,3425,0,281,Apr
95,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23430,689,0,85,Apr
96,Why You Probably Won't Become a Data Scientist,2021-04-09,137602,4034,0,480,Apr
97,How to Go From Data Analyst to Data Scientist,2021-04-02,53203,1527,0,177,Apr
98,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3971,138,0,92,Mar
99,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18147,349,0,108,Mar
100,My Regrets as a Data Science Student,2021-03-12,23886,878,0,112,Mar
101,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3827,195,0,83,Mar
102,What is the Future of my Comment Leaderboard Project?,2021-02-26,5566,201,0,81,Feb
103,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6665,172,0,51,Feb
104,Why I Quit Data Science,2021-02-12,104473,2340,0,346,Feb
105,ðŸŒ¶ Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10650,554,0,116,Jan
106,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6989,294,0,126,Jan
107,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9566,298,0,52,Jan
108,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22331,691,0,134,Jan
109,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,37220,1135,0,147,Jan
110,What is the #66DaysOfData?,2020-12-26,69553,2314,0,202,Dec
111,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131354,5974,0,488,Dec
112,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10838,396,0,133,Dec
113,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23420,726,0,326,Dec
114,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,27526,851,0,160,Nov
115,6 Lessons from #66DaysOfData,2020-11-13,6717,340,0,93,Nov
116,100K Channel Update + AMA Stream!,2020-11-12,2319,127,0,22,Nov
117,Find a Data Science Project With These 3 Techniques,2020-11-06,16694,723,0,106,Nov
118,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,26579,667,0,155,Oct
119,git for Data Science Made Simple... (Hopefully),2020-10-23,19180,858,0,92,Oct
120,The PODCAST you might have asked for?,2020-10-19,2111,94,0,44,Oct
121,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6717,448,0,113,Oct
122,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13939,405,0,48,Oct
123,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6709,142,0,62,Oct
124,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11183,557,0,83,Oct
125,Sh*t Data Scientists Say (Parody),2020-10-05,9440,577,0,143,Oct
126,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8611,366,0,93,Oct
127,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7060,289,0,61,Sep
128,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11545,290,0,69,Sep
129,5 Essential Data Science Projects for Your Portfolio,2020-09-26,72305,3096,0,206,Sep
130,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5172,197,0,64,Sep
131,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,11406,454,0,58,Sep
132,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7412,249,0,34,Sep
133,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5094,193,0,56,Sep
134,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4206,157,0,35,Sep
135,The 5 Pillars of Success I Live By,2020-09-11,10127,873,0,152,Sep
136,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1889,78,0,25,Sep
137,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4015,162,0,43,Sep
138,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11773,733,0,144,Sep
139,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17906,569,0,89,Sep
140,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17773,793,0,93,Aug
141,Why I'm Starting Data Science Over Again.,2020-08-29,50713,2604,0,450,Aug
142,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15024,624,0,76,Aug
143,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12717,456,0,55,Aug
144,Don't Buy My Course..,2020-08-21,7330,358,0,146,Aug
145,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29045,1112,0,166,Aug
146,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3229,129,0,40,Aug
147,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6308,537,0,108,Aug
148,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4959,183,0,39,Aug
149,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11869,376,0,53,Aug
150,The Plagiarism Problem in Data Science,2020-08-07,13041,629,0,145,Aug
151,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14370,601,0,89,Aug
152,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4891,187,0,56,Aug
153,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11343,579,0,90,Jul
154,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2312,116,0,34,Jul
155,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5579,251,0,112,Jul
156,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8197,246,0,199,Jul
157,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1851,98,0,27,Jul
158,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28903,562,0,90,Jul
159,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,320719,7166,0,423,Jul
160,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30203,1125,0,121,Jul
161,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3618,135,0,50,Jul
162,The Best Computer for Data Science Beginners,2020-07-10,37560,845,0,157,Jul
163,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6163,230,0,82,Jul
164,Critiquing MY OWN Data Science Resume,2020-07-06,12597,396,0,88,Jul
165,Where to Start Learning Data Science,2020-07-03,18672,782,0,126,Jul
166,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4109,196,0,37,Jul
167,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4569,176,0,52,Jun
168,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16166,547,0,79,Jun
169,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2405,82,0,40,Jun
170,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2384,139,0,49,Jun
171,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4337,168,0,46,Jun
172,Why You're Struggling to Learn Data Science,2020-06-12,15225,1010,0,159,Jun
173,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11523,355,0,70,Jun
174,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23673,683,0,146,Jun
175,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5697,155,0,53,Jun
176,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,70575,2162,0,268,May
177,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20959,490,0,81,May
178,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,54461,1946,0,178,May
179,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11235,178,0,55,May
180,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,125993,4316,0,193,May
181,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3099,147,0,115,May
182,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4499,153,0,74,May
183,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1392325,49024,0,1998,May
184,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5509,196,0,42,May
185,What You Need to Know for a Data Science Internship,2020-05-01,21569,1181,0,59,May
186,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8331,349,0,54,Apr
187,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14976,459,0,103,Apr
188,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3102,85,0,24,Apr
189,5 Tips for Crushing the Work From Home Life,2020-04-20,5404,202,0,38,Apr
190,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,20758,726,0,127,Apr
191,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,28529,717,0,98,Apr
192,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,42875,882,0,151,Apr
193,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,70708,1860,0,210,Apr
194,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,78515,1733,0,277,Apr
195,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,123777,3417,0,616,Apr
196,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,190153,4890,0,171,Apr
197,When Data Science Goes Wrong,2020-03-30,1801,105,0,32,Mar
198,How to ULTRALEARN Data Science,2020-03-27,61695,3820,0,169,Mar
199,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4388,267,0,50,Mar
200,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12775,461,0,45,Mar
201,The Secret Data Scientists Don't Want You to Know,2020-03-16,10695,1140,0,105,Mar
202,The 5 Stages of Learning Data Science,2020-03-13,17416,1297,0,78,Mar
203,Can You Learn Data Science Without a Computer?,2020-03-11,1652,110,0,14,Mar
204,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,344289,21149,0,622,Mar
205,The Data Science Projects that Got Me a Job,2020-03-06,40633,1394,0,41,Mar
206,How to Integrate Data Science into Your Business,2020-03-02,3367,127,0,18,Mar
207,The Problem with Data Science,2020-02-28,3779,154,0,19,Feb
208,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1155,46,0,16,Feb
209,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,124254,2401,0,97,Feb
210,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,323209,17672,0,525,Feb
211,Data Science Advice for College Students,2020-02-14,68790,1963,0,197,Feb
212,Avoid These Data Science Resume Mistakes!,2020-02-10,28167,1241,0,62,Feb
213,Data Science Explained with ... Cooking?,2020-02-07,5220,312,0,48,Feb
214,The 4 Types of Sports Analytics Projects,2020-02-03,30259,995,0,62,Feb
215,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,579,18,0,13,Jan
216,How I Learned Data Science,2020-01-27,93906,2692,0,210,Jan
217,What is Sports Analytics Really?,2020-01-20,20892,607,0,73,Jan
218,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110470,3124,0,582,Jan
219,How To Learn Programming for Data Science [3 Steps],2020-01-13,30014,1977,0,96,Jan
220,Data Science Fundamentals: SQL Queries,2020-01-10,6354,212,0,35,Jan
221,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3128,151,0,14,Jan
222,The 9 Books That Changed My Perspective in 2019,2020-01-03,3380,179,0,25,Jan
223,The Data Science Interview: What to Expect,2019-12-30,8441,375,0,32,Dec
224,5 Data Science Resolutions for 2020,2019-12-27,474,25,0,12,Dec
225,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16486,575,0,92,Dec
226,Collision Course: Sports Betting + Data Science,2019-12-20,17326,486,0,27,Dec
227,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100881,2938,0,204,Dec
228,5 Sports Analytics Books to Get You Started,2019-12-13,10675,407,0,59,Dec
229,Math Needed for Mastering Data Science,2019-12-09,56064,2850,0,222,Dec
230,The 5 Stages of Data Science Adoption,2019-12-06,1317,68,0,17,Dec
231,How YOU Can Land a Sports Analytics Job,2019-12-02,68596,3049,0,231,Dec
232,Data Science Fundamentals: Linear Regression,2019-11-29,6310,172,0,42,Nov
233,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1057,53,0,12,Nov
234,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5969,270,0,26,Nov
235,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46060,1753,0,80,Nov
236,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5925,137,0,31,Nov
237,Why Selling Is An Important Data Science Skill,2019-11-04,1620,79,0,13,Nov
238,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2812,73,0,18,Oct
239,Why is Balance Important in Data Science?,2019-10-16,701,32,0,13,Oct
240,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11817,581,0,54,Sep
241,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3801,115,0,33,Sep
242,6 Habits of Successful Data Scientists,2019-09-13,2210,95,0,17,Sep
243,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4537,101,0,9,Sep
244,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,0,29,Aug
245,Is Data Science Right For You?,2019-08-18,50558,1177,0,109,Aug
246,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14767,392,0,55,Aug
247,How To Get Data Science Experience (Without a Job),2019-08-08,29283,1385,0,75,Aug
248,Take Your Data Science Projects From Good to Great,2019-08-05,1602,107,0,11,Aug
249,The Projects You Should Do To Get A Data Science Job,2019-07-30,149799,5691,0,255,Jul
250,What Does a Data Scientist Actually Do?,2019-07-19,45785,1263,0,81,Jul
251,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12852,353,0,42,Jul
252,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17762,527,0,61,Jul
253,Data Science: Pros and Cons,2019-06-30,5192,215,0,18,Jun
254,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24453,1187,0,89,Jun
255,My Top 5 Data Science Internship Tips,2019-06-15,11827,493,0,23,Jun
256,Golf STATS: Strokes Gained Explained,2019-06-07,7348,150,0,28,Jun
257,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,615,44,0,5,May
258,What I Learned From My Three Degrees,2019-05-17,1253,60,0,12,May
259,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25646,1072,0,66,May
260,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1242,40,0,2,May
261,Should You Learn R for Data Science?,2019-04-25,20749,557,0,71,Apr
262,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46348,856,0,334,Apr
263,Work From Home Data Scientist: Day in the Life,2019-04-12,28065,760,0,101,Apr
264,Where to Look for Data Science Jobs,2019-03-29,3002,120,0,9,Mar
265,Data Science: Startup vs. Large Corporation,2019-03-21,2114,74,0,4,Mar
266,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6137,175,0,26,Mar
267,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4172,180,0,15,Mar
268,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,802,33,0,12,Mar
269,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1434,35,0,8,Mar
270,Where YOU Should Start With Data Science Projects,2019-02-19,16583,344,0,17,Feb
271,Watch This Before Applying to Data Science Jobs,2019-02-04,1488,66,0,13,Feb
272,My Top 5 Data Science Resources for 2019,2019-01-05,3693,122,0,17,Jan
273,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,832,36,0,6,Dec
274,The Best Way to Predict NBA Minutes Played,2018-12-11,4230,107,0,14,Dec
275,Demystifying Data Science Roles,2018-11-30,1129,53,0,5,Nov
276,How to Simulate NBA Games in Python,2018-11-19,17615,390,0,54,Nov
277,Should You Get A Masters in Data Science?,2018-11-14,20507,305,0,135,Nov
278,How I Became A Data Scientist From a Business Background,2018-11-12,6435,196,0,23,Nov
279,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8641,193,0,17,Jul
280,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18862,292,0,41,Nov
